Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Feingold,Johnson,Difference,Other,Pollster URL,Source URL,Partisan,Affiliation
PPP (D-MoveOn),2016-06-08,2016-06-09,2016-06-13T21:45:16Z,853,Registered Voters,Automated Phone,51,41,10,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-moveon-24665,https://www.scribd.com/doc/315390860/MoveOn-WI-Senate-Survey-Results,Sponsor,Dem
St Norbert/WPR/WPTV,2016-04-12,2016-04-15,2016-04-20T13:52:53Z,616,Registered Voters,Live Phone,51,41,10,,http://elections.huffingtonpost.com/pollster/polls/st-norbert-wpr-wptv-24316,http://www.snc.edu/sri/docs/2016/201604wissurvey.pdf,Nonpartisan,None
Emerson College Polling Society,2016-03-30,2016-04-03,2016-04-04T15:14:26Z,1198,Likely Voters,Automated Phone,48,44,4,8,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-24195,http://media.wix.com/ugd/3bebb2_d697f4238943476f89e7cdfc710c309f.pdf,Nonpartisan,None
PPP (D-VoteVets Action Fund),2016-03-28,2016-03-29,2016-03-31T14:51:28Z,1397,Registered Voters,IVR/Online,46,39,7,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-votevets-action-fund-24176,http://www.publicpolicypolling.com/pdf/2015/WisconsinPrimaryPoll33116.pdf,Sponsor,Dem
Loras College,2016-03-28,2016-03-29,2016-04-03T13:08:39Z,1000,Likely Voters,Live Phone,48,39,9,1,http://elections.huffingtonpost.com/pollster/polls/loras-college-24189,http://www.loras.edu/news/loras-college-poll-finds-cruz-tops-trump-clinton-leads-sanders-tight-race-state-supreme-court-wisconsin/,Nonpartisan,None
Marquette Law School,2016-03-24,2016-03-28,2016-03-30T17:10:50Z,957,Likely Voters,Live Phone,47,44,3,,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-24172,https://law.marquette.edu/poll/2016/03/30/new-marquette-law-school-poll-finds-cruz-sanders-ahead-in-wisconsin-presidential-primaries-bradley-leads-state-supreme-court-race/,Nonpartisan,None
Marquette Law School,2016-02-18,2016-02-21,2016-02-25T19:31:09Z,802,Registered Voters,Live Phone,49,37,12,5,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-23872,https://law.marquette.edu/poll/2016/02/25/new-marquette-law-school-poll-finds-tight-democratic-race-trump-maintaining-republican-lead-in-wisconsin/,Nonpartisan,None
Marquette Law School,2016-01-21,2016-01-24,2016-01-28T19:28:23Z,806,Registered Voters,Live Phone,50,37,13,4,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-23623,https://law.marquette.edu/poll/2016/01/28/new-marquette-law-school-poll-finds-tight-races-in-wisconsin-presidential-primaries/,Nonpartisan,None
Marquette Law School,2015-11-12,2015-11-15,2015-11-20T17:43:41Z,803,Registered Voters,Live Phone,49,38,11,8,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-23197,https://law.marquette.edu/poll/wp-content/uploads/2015/11/MLSP31ToplinesFinal.pdf,Nonpartisan,None
GQR (D)/Democracy Corps/WVWV/Voter Participation Center,2015-10-24,2015-10-28,2015-11-09T21:57:29Z,400,Likely Voters,Live Phone,51,46,5,,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-wvwv-voter-participation-center-23095,http://www.democracycorps.com/attachments/article/1014/Dcorps_WV_BG_11.9.15_final.pdf,Pollster,Dem
St Norbert/WPR/WPTV,2015-10-14,2015-10-17,2015-10-23T17:05:13Z,603,Registered Voters,Live Phone,51,40,11,,http://elections.huffingtonpost.com/pollster/polls/st-norbert-wpr-wptv-22973,http://www.wpr.org/sites/default/files/2015%20Fall%20WI%20Survey%20Release.pdf,Nonpartisan,None
Marquette Law School,2015-09-24,2015-09-28,2015-09-30T17:31:24Z,803,Registered Voters,Live Phone,50,36,14,7,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-22823,https://law.marquette.edu/poll/wp-content/uploads/2015/09/MLSP30Instrument.pdf,Nonpartisan,None
Marquette Law School,2015-08-13,2015-08-16,2015-08-22T01:28:26Z,802,Registered Voters,Live Phone,47,42,5,5,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-22596,https://law.marquette.edu/poll/wp-content/uploads/2015/08/MLSP29ToplinesFinal.pdf,Nonpartisan,None
Marquette Law School,2015-04-07,2015-04-10,2015-04-17T22:57:52Z,1409,Registered Voters,Live Phone,54,38,16,3,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-22030,https://law.marquette.edu/poll/wp-content/uploads/2015/04/MLSP28Toplines.pdf,Nonpartisan,None
PPP (D),2015-03-06,2015-03-08,2015-03-12T07:29:06Z,1071,Likely Voters,Automated Phone,50,41,9,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-21849,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_WI_31115.pdf,Pollster,Dem
PPP (D),2014-04-17,2014-04-20,2014-04-23T15:33:08Z,1144,Likely Voters,Automated Phone,47,41,6,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-19303,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_WI_423.pdf,Pollster,Dem
PPP (D),2013-02-21,2013-02-24,2013-02-26T21:33:30Z,1799,Likely Voters,Automated Phone,52,42,10,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-17081,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_WI_022613.pdf,Pollster,Dem
