State,pollster,pop,vtype,method,begmm,begdd,begyy,endmm,enddd,endyy,trump,clinton,other,undecided,Begdate,Enddate,Middate
US,"UPI/CVOTER",1265,"Likely Voters","Internet",9,8,2016,9,14,2016,48.0,47.0,5.0,,9/8/2016,9/14/2016,9/11/2016
US,"NBC/SurveyMonkey",16220,"Registered Voters","Internet",9,5,2016,9,11,2016,44.0,48.0,,,9/5/2016,9/11/2016,9/8/2016
US,"NBC/SurveyMonkey",16220,"Registered Voters","Internet",9,5,2016,9,11,2016,40.0,42.0,,,9/5/2016,9/11/2016,9/8/2016
US,"UPI/CVOTER",1226,"Likely Voters","Internet",9,1,2016,9,7,2016,48.0,47.0,6.0,,9/1/2016,9/7/2016,9/4/2016
US,"ABC/Post",642,"Likely Voters","Live Phone",9,5,2016,9,8,2016,41.0,46.0,1.0,,9/5/2016,9/8/2016,9/6/2016
US,"ABC/Post",1,"Likely Voters","Live Phone",9,5,2016,9,8,2016,43.0,51.0,0.0,1.0,9/5/2016,9/8/2016,9/6/2016
US,"GWU/Battleground",1000,"Likely Voters","Live Phone",8,28,2016,9,1,2016,40.0,42.0,,5.0,8/28/2016,9/1/2016,8/30/2016
US,"UPI/CVOTER",1173,"Likely Voters","Internet",8,25,2016,8,31,2016,46.0,48.0,6.0,,8/25/2016,8/31/2016,8/28/2016
US,"NBC/SurveyMonkey",32226,"Registered Voters","Internet",8,29,2016,9,4,2016,42.0,48.0,,,8/29/2016,9/4/2016,9/1/2016
US,"NBC/SurveyMonkey",32226,"Registered Voters","Internet",8,29,2016,9,4,2016,37.0,41.0,,,8/29/2016,9/4/2016,9/1/2016
US,"NBC/SurveyMonkey",24104,"Registered Voters","Internet",8,22,2016,8,28,2016,42.0,48.0,,,8/22/2016,8/28/2016,8/25/2016
US,"NBC/SurveyMonkey",24104,"Registered Voters","Internet",8,22,2016,8,28,2016,37.0,41.0,,,8/22/2016,8/28/2016,8/25/2016
