State,pollster,pop,vtype,method,begmm,begdd,begyy,endmm,enddd,endyy,trump,clinton,other,undecided,Begdate,Enddate,Middate
CO,"Magellan (R)",500,"Likely Voters","Live Phone",8,29,2016,8,31,2016,36.0,41.0,,5.0,8/29/2016,8/31/2016,8/30/2016
CO,"Washington Post/SurveyMonkey",2428,"Registered Voters","Internet",8,9,2016,9,1,2016,44.0,46.0,,,8/9/2016,9/1/2016,8/20/2016
CO,"Washington Post/SurveyMonkey",2428,"Registered Voters","Internet",8,9,2016,9,1,2016,37.0,37.0,,,8/9/2016,9/1/2016,8/20/2016
CO,"Quinnipiac",830,"Likely Voters","Live Phone",8,9,2016,8,16,2016,39.0,49.0,,,8/9/2016,8/16/2016,8/12/2016
CO,"Quinnipiac",830,"Likely Voters","Live Phone",8,9,2016,8,16,2016,33.0,41.0,,,8/9/2016,8/16/2016,8/12/2016
CO,"NBC/WSJ/Marist",899,"Registered Voters","Live Phone",8,4,2016,8,10,2016,32.0,46.0,1.0,6.0,8/4/2016,8/10/2016,8/7/2016
CO,"NBC/WSJ/Marist",899,"Registered Voters","Live Phone",8,4,2016,8,10,2016,29.0,41.0,1.0,8.0,8/4/2016,8/10/2016,8/7/2016
CO,"NBC/WSJ/Marist",794,"Registered Voters","Live Phone",7,5,2016,7,11,2016,35.0,43.0,4.0,5.0,7/5/2016,7/11/2016,7/8/2016
CO,"NBC/WSJ/Marist",794,"Registered Voters","Live Phone",7,5,2016,7,11,2016,33.0,39.0,3.0,9.0,7/5/2016,7/11/2016,7/8/2016
CO,"Gravis Marketing",1313,"Registered Voters","Automated Phone",7,7,2016,7,8,2016,41.0,43.0,16.0,,7/7/2016,7/8/2016,7/7/2016
CO,"Gravis Marketing",1313,"Registered Voters","Automated Phone",7,7,2016,7,8,2016,38.0,39.0,10.0,,7/7/2016,7/8/2016,7/7/2016
CO,"FOX",600,"Registered Voters","Live Phone",7,9,2016,7,12,2016,34.0,44.0,11.0,,7/9/2016,7/12/2016,7/10/2016
CO,"FOX",600,"Registered Voters","Live Phone",7,9,2016,7,12,2016,28.0,37.0,4.0,,7/9/2016,7/12/2016,7/10/2016
CO,"Monmouth University",404,"Likely Voters","Live Phone",7,9,2016,7,12,2016,35.0,48.0,3.0,7.0,7/9/2016,7/12/2016,7/10/2016
CO,"Harper (R)",500,"Likely Voters","IVR/Live Phone",7,7,2016,7,9,2016,38.0,45.0,,4.0,7/7/2016,7/9/2016,7/8/2016
CO,"CBS/YouGov",996,"Likely Voters","Internet",6,21,2016,6,24,2016,39.0,40.0,,,6/21/2016,6/24/2016,6/22/2016
WA,"Washington Post/SurveyMonkey",722,"Registered Voters","Internet",8,9,2016,9,1,2016,37.0,53.0,,,8/9/2016,9/1/2016,8/20/2016
WA,"Washington Post/SurveyMonkey",722,"Registered Voters","Internet",8,9,2016,9,1,2016,31.0,41.0,,,8/9/2016,9/1/2016,8/20/2016
WA,"Elway",500,"Registered Voters","Live Phone",8,9,2016,8,13,2016,24.0,43.0,,16.0,8/9/2016,8/13/2016,8/11/2016
WA,"PPP (D-Northwest Progressive Institute)",679,"Likely Voters","Automated Phone",6,14,2016,6,15,2016,37.0,49.0,,13.0,6/14/2016,6/15/2016,6/14/2016
TN,"Washington Post/SurveyMonkey",1021,"Registered Voters","Internet",8,9,2016,9,1,2016,55.0,37.0,,,8/9/2016,9/1/2016,8/20/2016
TN,"Washington Post/SurveyMonkey",1021,"Registered Voters","Internet",8,9,2016,9,1,2016,51.0,31.0,,,8/9/2016,9/1/2016,8/20/2016
