Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Approve,Disapprove,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Rasmussen,2016-09-13,2016-09-15,2016-09-16T13:34:40Z,1500,Likely Voters,IVR/Online,49.0,51.0,,http://elections.huffingtonpost.com/pollster/polls/rasmussen-25510,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
Gallup,2016-09-12,2016-09-14,2016-09-15T17:10:30Z,1500,Adults,Live Phone,52.0,45.0,,http://elections.huffingtonpost.com/pollster/polls/gallup-25505,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,Nonpartisan,None,,1
FOX,2016-09-11,2016-09-14,2016-09-15T22:26:16Z,1006,Registered Voters,Live Phone,52.0,45.0,3.0,http://elections.huffingtonpost.com/pollster/polls/fox-25509,http://www.foxnews.com/politics/interactive/2016/09/15/fox-news-poll-sept-15-2016/,Nonpartisan,None,,1
FOX,2016-09-11,2016-09-14,2016-09-15T22:26:16Z,,Registered Voters - Democrat,Live Phone,89.0,10.0,1.0,http://elections.huffingtonpost.com/pollster/polls/fox-25509,http://www.foxnews.com/politics/interactive/2016/09/15/fox-news-poll-sept-15-2016/,Nonpartisan,None,,1
FOX,2016-09-11,2016-09-14,2016-09-15T22:26:16Z,,Registered Voters - Republican,Live Phone,14.0,84.0,2.0,http://elections.huffingtonpost.com/pollster/polls/fox-25509,http://www.foxnews.com/politics/interactive/2016/09/15/fox-news-poll-sept-15-2016/,Nonpartisan,None,,1
FOX,2016-09-11,2016-09-14,2016-09-15T22:26:16Z,,Registered Voters - independent,Live Phone,46.0,48.0,6.0,http://elections.huffingtonpost.com/pollster/polls/fox-25509,http://www.foxnews.com/politics/interactive/2016/09/15/fox-news-poll-sept-15-2016/,Nonpartisan,None,,1
Morning Consult,2016-09-12,2016-09-13,2016-09-14T12:49:47Z,1501,Registered Voters,Internet,47.0,50.0,4.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25479,https://morningconsult.com/2016/09/14/clinton-health-poll/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-09-12,2016-09-13,2016-09-14T12:49:47Z,553,Registered Voters - Democrat,Internet,81.0,17.0,2.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25479,https://morningconsult.com/2016/09/14/clinton-health-poll/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-09-12,2016-09-13,2016-09-14T12:49:47Z,470,Registered Voters - Republican,Internet,11.0,88.0,1.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25479,https://morningconsult.com/2016/09/14/clinton-health-poll/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-09-12,2016-09-13,2016-09-14T12:49:47Z,478,Registered Voters - independent,Internet,42.0,50.0,8.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25479,https://morningconsult.com/2016/09/14/clinton-health-poll/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
YouGov/Economist,2016-09-10,2016-09-13,2016-09-14T17:01:06Z,1300,Adults,Internet,48.0,47.0,5.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25487,https://today.yougov.com/news/2016/09/13/yougoveconomist-poll-september-10-13-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
YouGov/Economist,2016-09-10,2016-09-13,2016-09-14T17:01:06Z,489,Adults - Democrat,Internet,85.0,11.0,4.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25487,https://today.yougov.com/news/2016/09/13/yougoveconomist-poll-september-10-13-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
YouGov/Economist,2016-09-10,2016-09-13,2016-09-14T17:01:06Z,337,Adults - Republican,Internet,13.0,86.0,2.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25487,https://today.yougov.com/news/2016/09/13/yougoveconomist-poll-september-10-13-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
YouGov/Economist,2016-09-10,2016-09-13,2016-09-14T17:01:06Z,474,Adults - independent,Internet,41.0,51.0,8.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25487,https://today.yougov.com/news/2016/09/13/yougoveconomist-poll-september-10-13-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
Ipsos/Reuters,2016-09-08,2016-09-12,2016-09-14T16:20:00Z,1752,Adults,Internet,48.0,48.0,4.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25486,http://ipsos-na.com/download/pr.aspx?id=15896,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Ipsos/Reuters,2016-09-08,2016-09-12,2016-09-14T16:20:00Z,770,Adults - Democrat,Internet,82.0,17.0,2.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25486,http://ipsos-na.com/download/pr.aspx?id=15896,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
