state,margin,start_date,end_date,mid_date,pop,polling_org,affiliation
AK,-12.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
AZ,0.0,2016-04-04,2016-04-11,2016-04-07,564,Behavior Research Center,
AZ,-1.0,2016-03-07,2016-03-11,2016-03-09,701,Merrill,
AZ,-15.0,2015-12-04,2015-12-09,2015-12-06,504,Strategies 360,
CO,8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
FL,-7.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
FL,-6.0,2015-09-11,2015-09-13,2015-09-12,814,PPP,D
FL,-12.0,2015-03-03,2015-03-05,2015-03-04,800,Mason-Dixon,
IA,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
IL,3.0,2016-03-30,2016-03-31,2016-03-30,600,GS Strategy Group,R
IL,6.0,2015-07-20,2015-07-21,2015-07-20,931,PPP,D
IL,17.0,2015-06-23,2015-06-23,2015-06-23,598,Ogden & Fry,
IN,14.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
LA,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
MO,-7.0,2016-03-25,2016-03-26,2016-03-25,927,Remington Research Group,R
MO,-14.0,2016-03-17,2016-03-24,2016-03-20,674,DFM Research,D
MO,-5.0,2015-08-07,2015-08-09,2015-08-08,859,PPP,D
NC,-4.0,2016-04-10,2016-04-15,2016-04-12,621,Elon,
NC,-5.0,2016-03-18,2016-03-20,2016-03-19,843,PPP,D
NC,-7.0,2016-03-09,2016-03-10,2016-03-09,1576,SurveyUSA,
NH,-4.0,2016-02-20,2016-02-28,2016-02-24,597,UNH,
NH,-7.0,2016-01-15,2016-01-18,2016-01-16,1197,Gravis Marketing,
NH,-2.0,2016-01-04,2016-01-06,2016-01-05,1036,PPP,D
NV,0.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
OH,1.0,2016-03-04,2016-03-06,2016-03-05,1248,PPP,D
OH,2.0,2016-02-16,2016-02-20,2016-02-18,1539,Quinnipiac,
OH,-4.0,2016-02-11,2016-02-20,2016-02-15,825,Baldwin Wallace University,
PA,-9.0,2016-03-30,2016-04-04,2016-04-01,1737,Quinnipiac,
PA,-13.0,2016-03-01,2016-03-11,2016-03-06,421,Mercyhurst University,
PA,-7.0,2015-10-08,2015-10-11,2015-10-09,1012,PPP,D
WI,10.0,2016-04-12,2016-04-15,2016-04-13,616,St Norbert,
WI,4.0,2016-03-30,2016-04-03,2016-04-01,1198,Emerson College Polling Society,
WI,9.0,2016-03-28,2016-03-29,2016-03-28,1000,Loras College,
WI,7.0,2016-03-28,2016-03-29,2016-03-28,1397,PPP,D
WI,3.0,2016-03-24,2016-03-28,2016-03-26,957,Marquette Law School,
