Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Rubio,Murphy,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
CNN,2016-09-07,2016-09-12,2016-09-14T20:31:54Z,788,Likely Voters,Live Phone,54.0,43.0,-11.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25493,http://www.cnn.com/2016/09/14/politics/cnn-orc-poll-florida-ohio-donald-trump-hillary-clinton/index.html,Nonpartisan,None,"If the election for U.S. Senate were held today and the candidates were Patrick Murphy, the Democrat and Marco Rubio, the Republican, who would you be more likely to vote for? ",1
Quinnipiac,2016-08-31,2016-09-07,2016-09-09T16:15:00Z,601,Likely Voters,Live Phone,50.0,43.0,-7.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25433,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2377,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Patrick Murphy the Democrat and Marco Rubio the Republican, for whom would you vote?",1
PPP (D),2016-09-04,2016-09-06,2016-09-07T14:57:28Z,744,Likely Voters,IVR/Online,40.0,37.0,-3.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-25412,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_FL_90716.pdf,Pollster,Dem,"The candidates for US Senate are Republican Marco Rubio, Democrat Patrick Murphy, and Libertarian Paul Stanton. If the election was today, who would you vote for?",1
Mason-Dixon,2016-08-22,2016-08-24,2016-08-25T13:40:36Z,625,Registered Voters,Live Phone,46.0,43.0,-3.0,http://elections.huffingtonpost.com/pollster/polls/mason-dixon-25257,http://big.assets.huffingtonpost.com/FL816PollPart1.pdf,Nonpartisan,None,,1
Mason-Dixon,2016-08-22,2016-08-24,2016-08-25T13:40:36Z,625,Likely Voters,Live Phone,46.0,43.0,-3.0,http://elections.huffingtonpost.com/pollster/polls/mason-dixon-25257,http://big.assets.huffingtonpost.com/FL816PollPart1.pdf,Nonpartisan,None,,1
ICITIZEN,2016-08-18,2016-08-24,2016-08-26T14:27:18Z,600,Registered Voters,Internet,43.0,42.0,-1.0,http://elections.huffingtonpost.com/pollster/polls/icitizen-25269,https://icitizen.com/wp-content/uploads/2016/08/Florida-Poll-%E2%80%93-August-Toplines.pdf,Nonpartisan,None,,1
Saint Leo University,2016-08-14,2016-08-18,2016-08-23T19:09:13Z,1380,Likely Voters,Internet,46.0,38.0,-8.0,http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-25245,http://polls.saintleo.edu/saint-leo-poll-shows-rubio-running-strong-in-senate-race-better-than-trump-is-running-on-top-of-the-gop-ticket-in-florida/,Nonpartisan,None,,1
Monmouth University,2016-08-12,2016-08-15,2016-08-16T17:31:41Z,402,Likely Voters,Live Phone,48.0,43.0,-5.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25187,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_FL_081616.asp,Nonpartisan,None,"If the election for U.S. Senate was today, who would you vote for if the candidates were Marco Rubio the Republican, Patrick Murphy the Democrat, or some other candidate? ",1
Opinion Savvy/Fox 13,2016-08-10,2016-08-10,2016-08-11T19:15:49Z,622,Likely Voters,IVR/Online,45.0,43.0,-2.0,http://elections.huffingtonpost.com/pollster/polls/opinion-savvy-fox-13-25136,http://opinionsavvy.com/wp-content/uploads/2016/08/OS-FL-General-8.11.16.pdf,Nonpartisan,None,If the election to determine the United States senator for Florida were held today and your choices were: Republican incumbent Marco Rubio; and Democratic candidate Patrick Murphy; for whom would you vote?,1
NBC/WSJ/Marist,2016-08-04,2016-08-10,2016-08-12T15:36:26Z,862,Registered Voters,Live Phone,49.0,43.0,-6.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25148,http://www.nbcnews.com/politics/2016-election/polls-clinton-running-table-key-battlegrounds-n629136,Nonpartisan,None,"If November's election for U.S. Senate in Florida were held today, whom would you support if the candidates are: [Including those who are undecided yet leaning towards a candidate]",1
Quinnipiac,2016-07-30,2016-08-07,2016-08-11T10:55:22Z,1056,Likely Voters,Live Phone,48.0,45.0,-3.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25120,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2372,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Patrick Murphy the Democrat and Marco Rubio the Republican, for whom would you vote? (If undecided) As of today, do you lean more toward Murphy or Rubio?",1
Suffolk,2016-08-01,2016-08-03,2016-08-04T16:42:16Z,500,Likely Voters,Live Phone,46.0,33.0,-13.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-25062,http://www.suffolk.edu/academics/10740.php,Nonpartisan,None,"If the November election for U.S. Senate were held today and the candidates were Republican Marco Rubio or Democrat Patrick Murphy, who will you vote for or lean toward?",1
NBC/WSJ/Marist,2016-07-05,2016-07-11,2016-07-15T11:11:12Z,871,Registered Voters,Live Phone,47.0,44.0,-3.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-24892,http://www.nbcnews.com/politics/2016-election/clinton-leads-trump-diverse-battleground-states-new-polls-n609551,Nonpartisan,None,"If November's election for U.S. Senate in Florida were held today, whom would you support if the candidates are: [Including those who are undecided yet leaning towards a candidate]",1
Quinnipiac,2016-06-30,2016-07-11,2016-07-15T11:04:04Z,1015,Registered Voters,Live Phone,50.0,37.0,-13.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24891,,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Patrick Murphy the Democrat and Marco Rubio the Republican, for whom would you vote?",1
