Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Grassley,Judge,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Monmouth University,2016-09-12,2016-09-14,2016-09-15T17:00:32Z,404,Likely Voters,Live Phone,56.0,39.0,2.0,-17.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25504,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_IA_091516/,Nonpartisan,None,"If the election for U.S. Senate was today, would you vote for Chuck Grassley the Republican, Patty Judge the Democrat, or some other candidate?",1
RABA Research/Simpson,2016-09-06,2016-09-08,2016-09-12T12:06:23Z,1054,Likely Voters,IVR/Online,50.0,37.0,,-13.0,http://elections.huffingtonpost.com/pollster/polls/raba-research-simpson-25451,http://www.rabaresearch.com/documents/RABA-Simpson-College-Survey-September-12-2016.pdf,Nonpartisan,None,"If the election for U.S. Senate were held today, for whom would you vote? ",1
PPP (D-Constitutional Responsibility Project),2016-08-30,2016-08-31,2016-09-07T15:21:52Z,827,Likely Voters,IVR/Online,49.0,43.0,,-6.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-constitutional-responsibility-project-25415,http://weneednine.org/wp-content/uploads/2016/07/IAToplines1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Patty Judge and Republican Chuck Grassley.If the election was today, who would you vote for?",1
CBS/YouGov,2016-08-17,2016-08-19,2016-08-21T16:25:15Z,987,Likely Voters,Internet,45.0,38.0,1.0,-7.0,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25220,http://www.cbsnews.com/news/poll-hillary-clinton-extends-lead-ohio-iowa-donald-trump/,Nonpartisan,None,,1
Quinnipiac,2016-08-09,2016-08-16,2016-08-18T16:37:38Z,846,Likely Voters,Live Phone,51.0,42.0,0.0,-9.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25208,http://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2374,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Patty Judge the Democrat and Chuck Grassley the Republican, for whom would you vote? As of today, do you lean more toward Judge or Grassley?",1
Suffolk,2016-08-08,2016-08-10,2016-08-11T16:20:43Z,500,Likely Voters,Live Phone,52.0,42.0,,-10.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-25128,https://www.suffolk.edu/academics/10740.php,Nonpartisan,None,"This November, the candidates for U.S. Senate will be Republican Chuck Grassley and Democrat Patty Judge. At this point, who will you vote for or lean toward?",1
NBC/WSJ/Marist,2016-08-03,2016-08-07,2016-08-09T21:14:11Z,899,Registered Voters,Live Phone,52.0,42.0,1.0,-10.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25104,http://www.nbcnews.com/politics/first-read/polls-clinton-ahead-trump-midwest-battlegrounds-n626541,Nonpartisan,None,2016 Iowa election for U.S. Senate including those who are undecided yet leaning toward a candidate,1
CBS/YouGov,2016-07-13,2016-07-15,2016-07-17T15:20:07Z,998,Likely Voters,Internet,45.0,37.0,2.0,-8.0,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-24909,https://today.yougov.com/news/2016/07/17/clinton-trump-neck-and-neck-key-battlegrounds/,Nonpartisan,None,,1
Monmouth University,2016-07-08,2016-07-11,2016-07-12T16:34:40Z,401,Likely Voters,Live Phone,52.0,42.0,,-10.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24862,http://monmouth.edu/polling-institute/reports/MonmouthPoll_IA_071216/,Nonpartisan,None,,1
NBC/WSJ/Marist,2016-07-05,2016-07-10,2016-07-13T17:14:27Z,822,Registered Voters,Live Phone,52.0,42.0,1.0,-10.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-24877,http://maristpoll.marist.edu/wp-content/misc/IApolls/IA160705/NBC%20News_WSJ_Marist%20Poll_Iowa%20Nature%20of%20the%20Sample%20and%20Tables_July%202016.pdf#page=1,Nonpartisan,None,2016 Iowa election for U.S. Senate including those who are undecided yet leaning toward a candidate,1
Loras College,2016-06-24,2016-06-28,2016-06-30T17:46:59Z,600,Likely Voters,Live Phone,46.0,45.0,,-1.0,http://elections.huffingtonpost.com/pollster/polls/loras-college-24806,http://myweb.loras.edu/Loras/PDF/PollIASurveyJune2016.pdf,Nonpartisan,None,,1
PPP (D-Americans United for Change/Constitutional Responsibility Project) ,2016-06-22,2016-06-23,2016-06-28T03:22:00Z,897,Likely Voters,IVR/Online,46.0,39.0,,-7.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-constitutional-responsibility-project-24786,http://www.americansunitedforchange.org/page/-/SupremeCourtMemo62816.pdf,Sponsor,Dem,,1
PPP (D-Constitutional Responsibility Project),2016-06-09,2016-06-13,2016-06-16T14:54:24Z,630,Likely Voters,Automated Phone,48.0,41.0,,-7.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-constitutional-responsibility-project-24688,http://www.desmoinesregister.com/story/news/politics/2016/06/16/poll-shows-clinton-grassley-leading-iowa/85947420/,Sponsor,Dem,,1
