Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Burr,Ross,Haugh,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Suffolk,2016-09-05,2016-09-07,2016-09-08T16:13:59Z,500,Likely Voters,Live Phone,41.0,37.0,4.0,,-4.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-25424,http://big.assets.huffingtonpost.com/SuffolkNC.pdf,Nonpartisan,None,,1
Quinnipiac,2016-08-29,2016-09-07,2016-09-09T16:23:08Z,751,Likely Voters,Live Phone,49.0,43.0,,0.0,-6.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25435,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2377,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Deborah Ross the Democrat and Richard Burr the Republican, for whom would you vote?",1
CBS/YouGov,2016-08-30,2016-09-02,2016-09-04T14:46:09Z,1088,Likely Voters,Internet,40.0,41.0,,2.0,1.0,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25338,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/tz7f4pk0q2/NC_final_20160904.pdf,Nonpartisan,None,,1
PPP (D-NELP) ,2016-08-26,2016-08-27,2016-09-01T15:24:30Z,1177,Likely Voters,IVR/Online,46.0,43.0,,,-3.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-nelp-25318,http://nelpaction.org/wp-content/uploads/2016/08/NCResults1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Deborah Ross and Republican Richard Burr. If the election were today, who would you vote for? ",1
Monmouth University,2016-08-20,2016-08-23,2016-08-24T17:00:30Z,401,Likely Voters,Live Phone,45.0,43.0,4.0,,-2.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25250,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_NC_082416/,Nonpartisan,None,"If the election for U.S. Senate was today, would you vote for Richard Burr the Republican, Deborah Ross the Democrat, or Sean Haugh the Libertarian? If you had to vote for one of the following candidates at this moment, who do you lean toward – Richard Burr or Deborah Ross?",1
CNN,2016-08-18,2016-08-23,2016-08-24T20:49:20Z,803,Likely Voters,Live Phone,50.0,45.0,,2.0,-5.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25253,http://www.cnn.com/2016/08/24/politics/arizona-north-carolina-polls-trump-clinton/index.html,Nonpartisan,None,"If the election for U.S. Senate were held today and you the candidates were Deborah Ross, the Democrat and Richard Burr, the Republican, who would you be more likely to vote for?",1
NBC/WSJ/Marist,2016-08-04,2016-08-10,2016-08-12T15:38:23Z,921,Registered Voters,Live Phone,44.0,46.0,,1.0,2.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25149,http://www.nbcnews.com/politics/2016-election/polls-clinton-running-table-key-battlegrounds-n629136,Nonpartisan,None,,1
PPP (D),2016-08-05,2016-08-07,2016-08-10T16:55:53Z,830,Likely Voters,IVR/Online,41.0,37.0,5.0,,-4.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-25115,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NC_81016.pdf,Pollster,Dem,"The candidates for US Senate are Republican Richard Burr, Democrat Deborah Ross, and Libertarian Sean Haugh. If the election was today, who would you vote for?",1
NBC/WSJ/Marist,2016-07-05,2016-07-11,2016-07-15T11:14:11Z,907,Registered Voters,Live Phone,48.0,41.0,,1.0,-7.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-24893,http://maristpoll.marist.edu/wp-content/misc/NCpolls/NC160705/NBC%20News_WSJ_Marist%20Poll_North%20Carolina%20Nature%20of%20the%20Sample%20and%20Tables_July%202016.pdf#page=2 ,Nonpartisan,None,"If November's election for governor in North Carolina were held today, whom would you support if the candidates are: [Including those who are undecided yet leaning towards a candidate]",1
PPP (D),2016-06-20,2016-06-21,2016-06-23T17:54:31Z,947,Likely Voters,IVR/Online,40.0,37.0,5.0,,-3.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24758,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NC_62316.pdf,Pollster,Dem,,1
GQR (D-Democracy Corps/Women's Voices Women Vote),2016-06-11,2016-06-20,2016-07-09T02:18:18Z,300,Likely Voters,Live Phone,36.0,38.0,,1.0,2.0,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-women-s-voices-women-vote-24844,http://big.assets.huffingtonpost.com/Dcorps_WV_BG_2016.pdf,Sponsor,Dem,,1
PPP (D),2016-05-20,2016-05-22,2016-05-25T15:45:45Z,928,Likely Voters,IVR/Online,39.0,36.0,8.0,,-3.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24552,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NC_52516.pdf,Pollster,Dem,,1
Civitas (R),2016-04-23,2016-04-25,2016-05-02T16:03:52Z,600,Likely Voters,Live Phone,37.0,35.0,6.0,,-2.0,http://elections.huffingtonpost.com/pollster/polls/civitas-r-24421,https://www.nccivitas.org/2016/17887/,Pollster,Rep,,1
PPP (D),2016-04-22,2016-04-24,2016-04-27T16:50:44Z,960,Likely Voters,IVR/Online,40.0,36.0,7.0,,-4.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24386,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NC_42716.pdf,Pollster,Dem,,1
