Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Ayotte,Hassan,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
NBC/WSJ/Marist,2016-09-06,2016-09-08,2016-09-11T11:32:52Z,737,Likely Voters,Live Phone,52.0,44.0,1.0,-8.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25442,http://www.nbcnews.com/politics/2016-election/clinton-trump-deadlocked-battleground-states-polls-n646216,Nonpartisan,None,"If November's election for U.S. Senate in New Hampshire were held today, whom would you support if the candidates are [including those who are undecided yet leaning toward a candidate]:",1
PPP (D- Constitutional Responsibility Project),2016-08-30,2016-08-31,2016-09-07T15:16:01Z,585,Likely Voters,IVR/Online,44.0,47.0,,3.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-constitutional-responsibility-project-25413,http://weneednine.org/wp-content/uploads/2016/07/NHToplines1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Maggie Hassan and Republican Kelly Ayotte. If the election were today, who would you vote for? ",1
PPP (D-NELP) ,2016-08-26,2016-08-28,2016-09-01T15:20:21Z,977,Likely Voters,IVR/Online,45.0,47.0,,2.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-nelp-25317,http://nelpaction.org/wp-content/uploads/2016/08/NHResults1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Maggie Hassan and Republican Kelly Ayotte. If the election were today, who would you vote for? ",1
UNH/WMUR,2016-08-20,2016-08-28,2016-09-02T14:27:15Z,412,Likely Voters,Live Phone,42.0,44.0,3.0,2.0,http://elections.huffingtonpost.com/pollster/polls/unh-wmur-25328,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_summer_sen09116.pdf,Nonpartisan,None,"If the 2016 US Senate election was being held today and the candidates were Kelly Ayotte, the Republican, and Maggie Hassan, the Democrat, would you vote for Kelly Ayotte… Maggie Hassan… some other candidate …. or would you skip this election?",1
CBS/YouGov,2016-08-10,2016-08-12,2016-08-14T14:56:44Z,990,Likely Voters,Internet,41.0,42.0,,1.0,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25158,http://www.cbsnews.com/news/poll-hillary-clinton-up-florida-new-hampshire-extends-lead-electoral-map/,Nonpartisan,None,,1
Vox Populi (R-ESA Fund),2016-08-07,2016-08-08,2016-08-11T11:27:25Z,820,Registered Voters,IVR/Online,43.0,46.0,,3.0,http://elections.huffingtonpost.com/pollster/polls/vox-populi-r-esa-fund-25123,http://www.wmur.com/blob/view/-/41140016/data/1/-/jxy7pq/-/Vox-Populi-Polling-memo.pdf,Sponsor,Rep,,1
MassINC/WBUR,2016-07-29,2016-08-01,2016-08-04T12:23:36Z,609,Likely Voters,Live Phone,40.0,50.0,2.0,10.0,http://elections.huffingtonpost.com/pollster/polls/massinc-wbur-25055,http://www.wbur.org/politicker/2016/08/04/clinton-over-trump-new-hampshire-poll,Nonpartisan,None,"If the November twenty sixteen election for U.S. Senate were held today, and if the candidates were for Democrat Maggie Hassan and Republican Kelly Ayotte, for whom would you vote? ",1
InsideSources/NH Journal,2016-07-19,2016-07-21,2016-07-28T19:58:40Z,1166,Registered Voters,IVR/Live Phone,49.0,41.0,,-8.0,http://elections.huffingtonpost.com/pollster/polls/insidesources-nh-journal-24989,http://www.insidesources.com/wp-content/uploads/2016/07/IS-NHJ-Poll-07.26.16.pdf,Nonpartisan,None,If the election for U.S. Senate were held today who would you vote for?,1
UNH/WMUR,2016-07-09,2016-07-18,2016-07-20T22:23:44Z,469,Likely Voters,Live Phone,42.0,45.0,3.0,3.0,http://elections.huffingtonpost.com/pollster/polls/unh-wmur-24943,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_summer_senrace072016.pdf,Nonpartisan,None,,1
ARG,2016-06-24,2016-06-28,2016-06-29T14:38:41Z,533,Registered Voters,Live Phone,51.0,42.0,,-9.0,http://elections.huffingtonpost.com/pollster/polls/arg-24796,https://americanresearchgroup.com/,Nonpartisan,None,,1
