Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Portman,Strickland,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Suffolk,2016-09-12,2016-09-14,2016-09-15T16:09:30Z,500,Likely Voters,Live Phone,39.0,31.0,5.0,-8.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-25502,http://www.suffolk.edu/academics/10740.php,Nonpartisan,None,"For U.S. Senate, your ballot includes five names non-party Tom Connors, Green Party Joseph DeMare, Republican Rob Portman, non-party Scott Rupert, Democrat Ted Strickland. At this point who will you vote for or lean toward?",1
Bloomberg/Selzer,2016-09-09,2016-09-12,2016-09-14T11:39:59Z,802,Likely Voters,Live Phone,53.0,36.0,3.0,-17.0,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-25477,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/r2.771xfmKOI/v0,Nonpartisan,None,"If the general election for U.S. Senate were held today, and the candidates were Ted Strickland for the Democrats and Rob Portman for the Republicans, for whom would you vote? ",1
CNN,2016-09-07,2016-09-12,2016-09-14T21:13:14Z,769,Likely Voters,Live Phone,58.0,37.0,3.0,-21.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25494,http://www.cnn.com/2016/09/14/politics/cnn-orc-poll-florida-ohio-donald-trump-hillary-clinton/index.html,Nonpartisan,None,"If the election for U.S. Senate were held today and the candidates were Ted Strickland, the Democrat and Rob Portman, the Republican, who would you be more likely to vote for? ",1
Quinnipiac,2016-08-29,2016-09-07,2016-09-09T16:13:18Z,775,Likely Voters,Live Phone,51.0,40.0,1.0,-11.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25432,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2377,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Ted Strickland the Democrat and Rob Portman the Republican, for whom would you vote? ",1
PPP (D-NELP) ,2016-08-26,2016-08-27,2016-09-01T15:15:09Z,1134,Likely Voters,IVR/Online,48.0,39.0,,-9.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-nelp-25315,http://nelpaction.org/wp-content/uploads/2016/08/OhioResults1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Ted Strickland and Republican Rob Portman. If the election were today, who would you vote for? ",1
Monmouth University,2016-08-18,2016-08-21,2016-08-22T17:02:38Z,402,Likely Voters,Live Phone,48.0,40.0,4.0,-8.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25232,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_OH_082216/,Nonpartisan,None,"If the election for U.S. Senate was today, would you vote for Rob Portman the Republican, Ted Strickland the Democrat, or some other candidate?",1
CBS/YouGov,2016-08-17,2016-08-19,2016-08-21T16:19:37Z,997,Likely Voters,Internet,46.0,39.0,4.0,-7.0,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25219,http://www.cbsnews.com/news/poll-hillary-clinton-extends-lead-ohio-iowa-donald-trump/,Nonpartisan,None,,1
NBC/WSJ/Marist,2016-08-03,2016-08-07,2016-08-09T21:20:52Z,889,Registered Voters,Live Phone,48.0,43.0,1.0,-5.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25105,http://www.nbcnews.com/politics/first-read/polls-clinton-ahead-trump-midwest-battlegrounds-n626541,Nonpartisan,None,2016 Ohio election for U.S. Senate including those who are undecided yet leaning toward a candidate,1
Quinnipiac,2016-07-30,2016-08-07,2016-08-11T10:57:37Z,812,Likely Voters,Live Phone,49.0,40.0,1.0,-9.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25121,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2372,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Ted Strickland the Democrat and Rob Portman the Republican, for whom would you vote? (If undecided) As of today, do you lean more toward Strickland or Portman?",1
PPP (D),2016-07-22,2016-07-24,2016-07-25T20:48:23Z,1334,Likely Voters,IVR/Online,43.0,38.0,,-5.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24961,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_72516.pdf,Pollster,Dem,"If the candidates for Senate this fall were Republican Rob Portman and Democrat Ted Strickland, who would you vote for?",1
