Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Toomey,McGinty,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Quinnipiac,2016-08-29,2016-09-07,2016-09-09T16:16:53Z,778,Likely Voters,Live Phone,46.0,45.0,1.0,-1.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25434,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2377,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Katie McGinty the Democrat and Pat Toomey the Republican, for whom would you vote?",1
CBS/YouGov,2016-08-30,2016-09-02,2016-09-04T14:41:47Z,1091,Likely Voters,Internet,39.0,39.0,2.0,0.0,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25337,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0iehgiezx8/PA_final_20160904.pdf,Nonpartisan,None,,1
PPP (D- Constitutional Responsibility Project),2016-08-30,2016-08-31,2016-09-07T15:18:47Z,814,Likely Voters,IVR/Online,41.0,44.0,,3.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-constitutional-responsibility-project-25414,http://weneednine.org/wp-content/uploads/2016/07/PAToplines1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Katie McGinty and Republican Pat Toomey. If the election were today, who would you vote for?",1
Monmouth University,2016-08-26,2016-08-29,2016-08-30T17:04:43Z,402,Likely Voters,Live Phone,41.0,45.0,7.0,4.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25294,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_PA_083016/,Nonpartisan,None,"If the election for U.S. Senate was today, would you vote for Pat Toomey the Republican, Katie McGinty the Democrat, or Edward Clifford the Libertarian?",1
Franklin and Marshall College,2016-08-25,2016-08-29,2016-09-01T12:40:23Z,496,Likely Voters,Live Phone/Online,38.0,43.0,,5.0,http://elections.huffingtonpost.com/pollster/polls/franklin-and-marshall-college-25308,http://www.fandm.edu/uploads/files/976089416682518756-f-m-poll-release-august-2016-1.pdf,Nonpartisan,None,"If the 2016 election for U.S. SENATOR was being held today and the candidates included Katie McGinty, the Democrat, and Pat Toomey, the Republican, would you vote for Katie McGinty, Pat Toomey, or aren't you sure how you would vote? ",1
PPP (D-NELP),2016-08-26,2016-08-27,2016-09-01T15:11:16Z,1194,Likely Voters,IVR/Online,40.0,46.0,,6.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-nelp-25313,http://nelpaction.org/wp-content/uploads/2016/08/PAResults1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Katie McGinty and Republican Pat Toomey. If the election were today, who would you vote for?",1
NBC/WSJ/Marist,2016-08-03,2016-08-07,2016-08-09T21:27:25Z,834,Registered Voters,Live Phone,44.0,48.0,1.0,4.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25106,http://www.nbcnews.com/politics/first-read/polls-clinton-ahead-trump-midwest-battlegrounds-n626541,Nonpartisan,None,2016 Pennsylvania election for U.S. Senate including those who are undecided yet leaning toward a candidate,1
Quinnipiac,2016-07-30,2016-08-07,2016-08-11T10:59:49Z,815,Likely Voters,Live Phone,44.0,47.0,0.0,3.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25122,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2372,Nonpartisan,None,"If the election for President were being held today, and the candidates were Katie McGinty the Democrat and Pat Toomey the Republican, for whom would you vote? (If undecided) As of today, do you lean more toward McGinty or Toomey?",1
Susquehanna (R)/ABC27 News,2016-07-31,2016-08-04,2016-08-08T22:07:26Z,772,Likely Voters,IVR/Live Phone,40.0,42.0,,2.0,http://elections.huffingtonpost.com/pollster/polls/susquehanna-r-abc27-news-25093,https://mgtvwhtm.files.wordpress.com/2016/08/toplines-statewideabc27-aug16.pdf,Pollster,Rep,"If the election for United States Senator were held today would you vote for Pat Toomey, the Republican candidate, or Katie McGinty, the Democratic candidate?",1
Franklin and Marshall College,2016-07-29,2016-08-01,2016-08-04T13:26:57Z,389,Likely Voters,Live Phone/Online,38.0,39.0,,1.0,http://elections.huffingtonpost.com/pollster/polls/franklin-and-marshall-college-25058,http://www.fandm.edu/uploads/files/517148503881751921-f-m-poll-release-july-2016.pdf,Nonpartisan,None,"If the 2016 election for U.S. SENATOR was being held today and the candidates included Katie McGinty, the Democrat, and Pat Toomey, the Republican, would you vote for Katie McGinty, Pat Toomey, or aren't you sure how you would vote? ",1
