Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Johnson,Feingold,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Monmouth University,2016-08-27,2016-08-30,2016-08-31T17:06:53Z,404,Likely Voters,Live Phone,41.0,54.0,2.0,13.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25303,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_WI_083116/,Nonpartisan,None,"If the election for U.S. Senate was today, would you vote for Ron Johnson the Republican, Russ Feingold the Democrat, or Phil Anderson the Libertarian?",1
Marquette Law School,2016-08-25,2016-08-28,2016-08-31T18:23:56Z,650,Likely Voters,Live Phone,45.0,48.0,1.0,3.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-25304,https://law.marquette.edu/poll/2016/08/31/new-marquette-law-school-poll-finds-clinton-edge-over-trump-narrowing-to-pre-convention-levels-among-wisconsin-voters/,Nonpartisan,None,"If the election for U.S. Senator were being held today and the candidates were Ron Johnson the Republican and Russ Feingold the Democrat, for whom would you vote?",1
PPP (D-NELP) ,2016-08-26,2016-08-27,2016-09-01T15:06:31Z,1054,Likely Voters,IVR/Online,42.0,49.0,,7.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-nelp-25312,http://nelpaction.org/wp-content/uploads/2016/08/WIResults1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Russ Feingold and Republican Ron Johnson. If the election were today, who would you vote for? ",1
Marquette Law School,2016-08-04,2016-08-07,2016-08-10T18:41:26Z,683,Likely Voters,Live Phone,42.0,53.0,1.0,11.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-25118,https://law.marquette.edu/poll/,Nonpartisan,None,"If the election for U.S. Senator were being held today and the candidates were Ron Johnson the Republican and Russ Feingold the Democrat, for whom would you vote?",1
Marquette Law School,2016-07-07,2016-07-10,2016-07-13T17:22:21Z,665,Likely Voters,Live Phone,44.0,49.0,1.0,5.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-24879,https://law.marquette.edu/poll/2016/07/13/new-marquette-law-school-poll-finds-clinton-feingold-leading-parties-remain-divided/,Nonpartisan,None,,1
PPP (D-Americans United for Change/Constitutional Responsibility Project) ,2016-06-22,2016-06-23,2016-06-28T03:31:44Z,843,Likely Voters,IVR/Online,37.0,50.0,,13.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-constitutional-responsibility-project-24790,http://www.americansunitedforchange.org/page/-/SupremeCourtMemo62816.pdf,Sponsor,Dem,,1
GQR (D-Democracy Corps/Women's Voices Women Vote),2016-06-11,2016-06-20,2016-07-09T02:26:12Z,300,Likely Voters,Live Phone,45.0,46.0,0.0,1.0,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-women-s-voices-women-vote-24849,http://big.assets.huffingtonpost.com/Dcorps_WV_BG_2016.pdf,Sponsor,Dem,,1
Marquette Law School,2016-06-09,2016-06-12,2016-06-15T17:18:30Z,666,Likely Voters,Live Phone,42.0,51.0,0.0,9.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-24685,https://law.marquette.edu/poll/2016/06/15/new-marquette-law-school-poll-finds-clinton-feingold-leading-majorities-have-negative-views-of-presidential-candidates/,Nonpartisan,None,,1
PPP (D-MoveOn),2016-06-08,2016-06-09,2016-06-13T21:45:16Z,853,Likely Voters,Automated Phone,41.0,51.0,,10.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-moveon-24665,https://www.scribd.com/doc/315390860/MoveOn-WI-Senate-Survey-Results,Sponsor,Dem,,1
St Norbert/WPR/WPTV,2016-04-12,2016-04-15,2016-04-20T13:52:53Z,616,Registered Voters,Live Phone,41.0,51.0,,10.0,http://elections.huffingtonpost.com/pollster/polls/st-norbert-wpr-wptv-24316,http://www.snc.edu/sri/docs/2016/201604wissurvey.pdf,Nonpartisan,None,,1
Emerson College Polling Society,2016-03-30,2016-04-03,2016-04-04T15:14:26Z,1198,Likely Voters,Automated Phone,44.0,48.0,8.0,4.0,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-24195,http://media.wix.com/ugd/3bebb2_d697f4238943476f89e7cdfc710c309f.pdf,Nonpartisan,None,,1
