Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Democrat,Republican,Other,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
YouGov/Economist,2016-09-10,2016-09-13,2016-09-14T17:01:06Z,1085,Registered Voters,Internet,44.0,38.0,3.0,15.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25487,https://today.yougov.com/news/2016/09/13/yougoveconomist-poll-september-10-13-2016/,Nonpartisan,None,,1
Ipsos/Reuters,2016-09-08,2016-09-12,2016-09-14T16:20:00Z,1127,Likely Voters,Internet,40.0,38.0,5.0,17.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25486,http://ipsos-na.com/download/pr.aspx?id=15896,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
Morning Consult,2016-09-06,2016-09-08,2016-09-11T12:44:31Z,1710,Likely Voters,Internet,44.0,40.0,,16.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25447,https://morningconsult.com/2016/09/11/presidential-race-near-toss-among-likely-voters/,Nonpartisan,None,,1
YouGov/Economist,2016-09-04,2016-09-06,2016-09-07T14:42:43Z,1073,Registered Voters,Internet,41.0,38.0,3.0,18.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25411,https://today.yougov.com/news/2016/09/07/yougoveconomist-poll-september-4-6-2016/,Nonpartisan,None,,1
Ipsos/Reuters,2016-09-01,2016-09-05,2016-09-09T19:40:58Z,1084,Likely Voters,Internet,40.0,39.0,4.0,18.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25441,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7361,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
CNN,2016-09-01,2016-09-04,2016-09-09T18:08:49Z,786,Likely Voters,Live Phone,47.0,49.0,2.0,2.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25436,http://www.cnn.com/2016/09/09/politics/poll-economy-obama-approval-rating/index.html,Nonpartisan,None,"If the elections for Congress were being held today, which party's candidate would you vote for in your Congressional district?",1
Morning Consult,2016-09-01,2016-09-02,2016-09-04T13:14:15Z,2001,Registered Voters,Internet,41.0,38.0,,21.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25336,https://morningconsult.com/2016/09/04/trumps-immigration-stance-isnt-hurting/,Nonpartisan,None,,1
GWU/Battleground,2016-08-28,2016-09-01,2016-09-07T11:53:44Z,1000,Likely Voters,Live Phone,45.0,43.0,,13.0,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-25409,http://big.assets.huffingtonpost.com/BGGWTarranceGroupLakeResearch.pdf,Nonpartisan,None,,1
YouGov/Economist,2016-08-27,2016-08-29,2016-08-31T12:46:46Z,1112,Adults,Internet,42.0,39.0,2.0,17.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25297,https://today.yougov.com/news/2016/08/30/yougoveconomist-poll-august-27-29-2016/,Nonpartisan,None,,1
Ipsos/Reuters,2016-08-25,2016-08-29,2016-08-31T21:28:43Z,1404,Likely Voters,Internet,39.0,37.0,5.0,20.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25305,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7353,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
